mode: set
lms/backend/controllers/admin.go:68.30,72.13 3 0
lms/backend/controllers/auth.go:70.2,84.4 7 1
lms/backend/controllers/owner.go:17.36,24.89 4 0
lms/backend/controllers/owner.go:24.89,29.3 2 0
lms/backend/controllers/owner.go:32.2,32.26 1 0
lms/backend/controllers/owner.go:32.26,37.3 2 0
lms/backend/controllers/owner.go:40.2,42.56 2 0
lms/backend/controllers/owner.go:42.56,47.3 2 0
lms/backend/controllers/owner.go:48.2,52.29 3 0
lms/backend/controllers/owner.go:52.29,57.3 2 0
lms/backend/controllers/owner.go:59.2,64.123 3 0
lms/backend/controllers/owner.go:64.123,69.3 1 0
lms/backend/controllers/owner.go:73.2,75.4 1 0
lms/backend/controllers/owner.go:78.34,86.90 3 0
lms/backend/controllers/owner.go:86.90,92.3 2 0
lms/backend/controllers/owner.go:97.2,101.50 2 0
lms/backend/controllers/owner.go:101.50,106.3 2 0
lms/backend/controllers/owner.go:108.2,110.20 2 0
lms/backend/controllers/owner.go:110.20,115.3 2 0
lms/backend/controllers/owner.go:125.2,136.4 3 0
lms/backend/controllers/owner.go:139.29,145.87 3 0
lms/backend/controllers/owner.go:145.87,149.3 1 0
lms/backend/controllers/owner.go:151.2,151.25 1 0
lms/backend/controllers/owner.go:151.25,157.3 2 0
lms/backend/controllers/owner.go:158.2,160.90 2 0
lms/backend/controllers/owner.go:160.90,165.3 2 0
lms/backend/controllers/owner.go:166.2,168.4 1 0
lms/backend/controllers/owner.go:170.32,175.84 3 0
lms/backend/controllers/owner.go:175.84,181.3 2 0
lms/backend/controllers/owner.go:183.2,184.130 2 0
lms/backend/controllers/owner.go:184.130,190.3 2 0
lms/backend/controllers/owner.go:192.2,194.4 1 0
lms/backend/controllers/reader.go:13.34,19.85 3 0
lms/backend/controllers/reader.go:19.85,25.3 2 0
lms/backend/controllers/reader.go:26.2,30.195 4 0
lms/backend/controllers/reader.go:30.195,36.3 2 0
lms/backend/controllers/reader.go:37.2,39.4 1 0
lms/backend/controllers/reader.go:54.40,67.108 4 0
lms/backend/controllers/reader.go:67.108,70.3 2 0
lms/backend/controllers/reader.go:72.2,74.80 2 0
lms/backend/controllers/reader.go:74.80,79.3 1 0
lms/backend/controllers/reader.go:82.2,82.31 1 0
lms/backend/controllers/reader.go:82.31,87.3 2 0
lms/backend/controllers/reader.go:88.2,89.148 2 0
lms/backend/controllers/reader.go:89.148,95.3 2 0
lms/backend/controllers/reader.go:97.2,97.33 1 0
lms/backend/controllers/reader.go:97.33,102.3 2 0
lms/backend/controllers/reader.go:105.2,117.4 3 0
lms/backend/controllers/reader.go:120.35,123.61 2 0
lms/backend/controllers/reader.go:123.61,128.3 2 0
lms/backend/controllers/reader.go:130.2,132.4 1 0
lms/backend/controllers/reader.go:135.36,139.107 3 0
lms/backend/controllers/reader.go:139.107,145.3 2 0
lms/backend/controllers/reader.go:147.2,149.4 1 0
